Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Year
J2720,"Injection, protamine sulfate, per 10 mg",Protamine Sulfate,Protamine Sulfate,1183.48,1120,628,415,1.056678571,1.884522293,2.851759036,2015
J2724,"Injection, protein c concentrate, intravenous, human, 10 iu",Ceprotin,"Protein C, Human",117791.86,8128,148,58,14.49210876,795.890946,2030.894138,2015
J2765,"Injection, metoclopramide hcl, up to 10 mg",Metoclopramide HCL,Metoclopramide HCL,17672.28,18118,12125,4080,0.975399051,1.457507629,4.331441177,2015
J2770,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Synercid,Quinupristin/Dalfopristin,209154.48,783,370,328,267.119387,565.2823784,637.6660976,2015
J2778,"Injection, ranibizumab, 0.1 mg",Lucentis,Ranibizumab,1149885267,2969483,573699,119638,387.2341639,2004.335491,9611.371525,2015
J2780,"Injection, ranitidine hydrochloride, 25 mg",Ranitidine HCL*,Ranitidine HCL*,353517.01,334320,162022,26720,1.057421064,2.181907457,13.23042702,2015
J2783,"Injection, rasburicase, 0.5 mg",Elitek,Rasburicase,8055447.35,36360,1659,1014,221.5469568,4855.604189,7944.228156,2015
J2785,"Injection, regadenoson, 0.1 mg",Lexiscan,Regadenoson,116823577.2,2248164.4,573266,567102,51.96398324,203.7859862,206.0009966,2015
J2790,"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)",Hyperrho S-D*,Rho(D) Immune Globulin*,36553.59,453,453,427,80.69225166,80.69225166,85.60559719,2015
J2791,"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu",Rhophylac,Rho(D) Immune Globulin,22962.44,4897,314,288,4.689083112,73.12878981,79.73069444,2015
J2792,"Injection, rho d immune globulin, intravenous, human, solvent detergent, 100 iu",Winrho SDf,Rho(D) Immune Globulin/Maltose,1429247.23,76945,431,162,18.57492014,3316.118863,8822.513765,2015
J2794,"Injection, risperidone, long acting, 0.5 mg",Risperdal Consta,Risperidone Microspheres,7872345,1222396.5,14031,2030,6.440091247,561.0679923,3878.002463,2015
J2795,"Injection, ropivacaine hydrochloride, 1 mg",Naropin*,Ropivacaine HCL/PF*,9649.16,99182.6,7068,4313,0.097286823,1.365189587,2.237226988,2015
J2796,"Injection, romiplostim, 10 micrograms",NPlate,Romiplostim,158743394.7,2873904.3,65027,3771,55.23614501,2441.192038,42095.83523,2015
J2800,"Injection, methocarbamol, up to 10 ml",Methocarbamol*,Methocarbamol*,108777.48,2460,2332,1117,44.21848781,46.64557461,97.38359893,2015
J2805,"Injection, sincalide, 5 micrograms",Kinevac,Sincalide,583181.04,7085.8,7021,7002,82.30278021,83.06238997,83.28778063,2015
J2820,"Injection, sargramostim (gm-csf), 50 mcg",Leukine,Sargramostim,7902539.15,250667,24932,1972,31.52604511,316.9637073,4007.372794,2015
J2850,"Injection, secretin, synthetic, human, 1 microgram",Chirhostim,Secretin Acetate (Human),397626.34,11673,702,641,34.06376596,566.4192878,620.3219033,2015
J2916,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Ferrlecit*,Sodium Ferric Gluconat/Sucrose*,834471.59,322129,32871,5084,2.590488873,25.38625506,164.1368194,2015
J2920,"Injection, methylprednisolone sodium succinate, up to 40 mg",MethylprednIsolone Sodium Succ (J2920)*,MethylprednIsolone Sod Succ*,299326.04,133449.7,88298,45950,2.242987733,3.38995266,6.514168444,2015
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,1137105.41,347651.4,225895,134511,3.270820742,5.03377857,8.453623942,2015
J2997,"Injection, alteplase recombinant, 1 mg",Activase*,Alteplase*,49746408.72,717912.9,82213,54001,69.2930977,605.0917582,921.2127316,2015
J3010,"Injection, fentanyl citrate, 0.1 mg",Fentanyl Citrate,Fentanyl Citrate/PF,219758.88,411277.1,138968,73667,0.534332887,1.581363192,2.983138719,2015
J3060,"Injection, taliglucerace alfa, 10 units",Elelyso,Taliglucerase Alfa,3277006.43,93922,195,17,34.89072241,16805.16118,192765.0841,2015
J3070,"Injection, pentazocine, 30 mg",Talwin,Pentazocine Lactate,132257.2,1174,109,82,112.6551959,1213.368807,1612.892683,2015
J3095,"Injection, telavancin, 10 mg",Vibativ,Telavancin HCL,926669.04,200775,1393,240,4.615460291,665.2326202,3861.121,2015
J3101,"Injection, tenecteplase, 1 mg",Tnkase,Tenecteplase,6368356.94,72967,1658,1611,87.27722039,3840.987298,3953.045897,2015
J3105,"Injection, terbutaline sulfate, up to 1 mg",Terbutaline Sulfate,Terbutaline Sulfate,1309.27,379,355,211,3.454538259,3.688084507,6.20507109,2015
J3121,"Injection, testosterone enanthate, 1 mg",Testosterone Enanthate,Testosterone Enanthate,109577.14,2356185.5,16807,2740,0.04650616,6.519732254,39.99165693,2015
J3230,"Injection, chlorpromazine hcl, up to 50 mg",Chlorpromazine HCL,Chlorpromazine HCL,4035.12,192,181,119,21.01625,22.29348066,33.90857143,2015
J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Thyrogen,Thyrotropin Alfa,14306249.96,10377,8112,5086,1378.649895,1763.590971,2812.868651,2015
J3243,"Injection, tigecycline, 1 mg",Tigecycline*,Tigecycline*,1618911.54,755208,4044,1203,2.143663123,400.3243175,1345.728628,2015
J3250,"Injection, trimethobenzamide hcl, up to 200 mg",Tigan,Trimethobenzamide HCL,88393.19,5118,4669,3189,17.27104142,18.93193189,27.71815303,2015
J3260,"Injection, tobramycin sulfate, up to 80 mg",Tobramycin Sulfate,Tobramycin Sulfate,62873.63,24781.9,13328,6289,2.537078674,4.717409214,9.997397043,2015
J3262,"Injection, tocilizumab, 1 mg",Actemra,Tocilizumab,157257462.9,41876903.3,75878,10234,3.755231416,2072.504057,15366.17773,2015
J3285,"Injection, treprostinil, 1 mg",Remodulin,Treprostinil Sodium,174306642.1,2871482,10557,1209,60.70267623,16511.00143,144174.2284,2015
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",Triesence,Triamcinolone Acetonide/PF,6978740.46,1997223.7,61380,36776,3.494220733,113.697303,189.7634452,2015
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Kenalog*,Triamcinolone Acetonide*,20865065.78,11932472.9,2784332,1726827,1.748595279,7.493742047,12.08289295,2015
J3315,"Injection, triptorelin pamoate, 3.75 mg",Trelstar,Triptorelin Pamoate,12619496.53,73470.8,20647,9959,171.7620678,611.202428,1267.144947,2015
J3357,"Ustekinumab, for subcutaneous injection, 1 mg",Stelara,Ustekinumab,31321559.54,197699,3448,1217,158.4305411,9083.978985,25736.69642,2015
J3360,"Injection, diazepam, up to 5 mg",Diazepam,Diazepam,58532.12,12058.5,8137,4980,4.854013352,7.193329237,11.75343775,2015
J3370,"Injection, vancomycin hcl, 500 mg",Vancomycin*,Vancomycin HCL In 5 % Dextrose*,1010042.42,348644.5,76226,17279,2.897055367,13.25062866,58.45491174,2015
J3380,"Injection, vedolizumab, 1 mg",Entyvio,Vedolizumab, , , , , , , ,2015
J3385,"Injection, velaglucerase alfa, 100 units",Vpriv,Velaglucerase Alfa,26912504.51,78887,1688,101,341.1525918,15943.42684,266460.4407,2015
J3396,"Injection, verteporfin, 0.1 mg",Visudyne,Verteporfin,5351866.6,501308,3431,2906,10.67580529,1559.856194,1841.660909,2015
J3410,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine HCL,Hydroxyzine HCL,5460.87,4923,3734,2088,1.109256551,1.46247188,2.615359195,2015
J3411,"Injection, thiamine hcl, 100 mg",Thiamine HCL,Thiamine HCL,89087.4,26812,22467,4838,3.322668954,3.965255708,18.41409673,2015
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6),214731.31,30390,22664,4235,7.065854228,9.474554801,50.7039693,2015
J3420,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),6919520.46,2405777.6,2360971,573785,2.87620953,2.930794347,12.05943073,2015
J3430,"Injection, phytonadione (vitamin k), per 1 mg",Vitamin K1,Phytonadione (Vit K1),54039.29,18951,3663,2704,2.851527096,14.75274092,19.98494453,2015
J3465,"Injection, voriconazole, 10 mg",Vfend IV*,Voriconazole*,84941.43,22396,459,186,3.792705394,185.0575817,456.6743548,2015
J3471,"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)",Vitrase,"Hyaluronidase,ovine",74910.1,139646,363,236,0.536428541,206.3639119,317.415678,2015
J3473,"Injection, hyaluronidase, recombinant, 1 usp unit",Hylenex,"Hyaluronidase, Human Recomb.",9313.02,27710,224,169,0.336088777,41.57598214,55.10662722,2015
J3475,"Injection, magnesium sulfate, per 500 mg",Magnesium Sulfate*,Magnesium Sulfate*,128504.34,641744.1,127996,24273,0.20024234,1.00397153,5.294126808,2015
J3480,"Injection, potassium chloride, per 2 meq",Dextrose 5%-Potassium Chloride*,Potassium Chloride In D5W*,87444.83,624247.5,57302,17053,0.140080385,1.526034519,5.127826775,2015
J3489,"Injection, zoledronic acid, 1 mg",Reclast*,Zoledronic Acid/Mannitol-Water*,56614693.37,1568969.2,364602,176814,36.08400558,155.2780659,320.1934992,2015
J7030,"Infusion, normal saline solution , 1000 cc",Sodium Chloride (J7030),0.9 % Sodium Chloride,448518.42,285398.9,256890,86379,1.571549225,1.745955156,5.19244747,2015
J7040,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Sodium Chloride (J7040),0.9 % Sodium Chloride,266069.98,338236.6,277203,81977,0.786638643,0.959838025,3.245666224,2015
J7042,5% dextrose/normal saline (500 ml = 1 unit),Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,25515.17,41695,29028,11695,0.611947955,0.878984773,2.181716118,2015
J7050,"Infusion, normal saline solution, 250 cc",Sodium Chloride (J7050),0.9 % Sodium Chloride,417205.69,1054044,693189,166635,0.395814302,0.601864268,2.503709845,2015
J7060,5% dextrose/water (500 ml = 1 unit),Dextrose In Water (J7060),Dextrose 5 % In Water,115613.74,69048,49814,9559,1.674396652,2.32090858,12.09475259,2015
J7070,"Infusion, d5w, 1000 cc",Dextrose In Water (J7070),Dextrose 5 % In Water,19501.45,7361.4,6641,2204,2.649149618,2.936523114,8.848207804,2015
J7120,"Ringers lactate infusion, up to 1000 cc",Lactated Ringers,"Ringer's Solution,lactated",33300.24,23457.5,21658,10452,1.419598849,1.537549174,3.186016074,2015
J7180,"Injection, factor xiii (antihemophilic factor, human), 1 i.u.",Corifact,Factor XIII,2023090.69,36441.6,77, ,55.51596774,26273.90507, ,2015
J7182,"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu",Novoeight,"Antihemoph.FVIII,b-Dom Truncat",2171047.57,156684,49, ,13.85621742,44307.09327, ,2015
J7183,"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco",Wilate,Antihemophilic Factor/VWF,3210044.81,1040925,214,30,3.083838711,15000.20939,107001.4937,2015
J7185,"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u.",Xyntha*,"Antihemoph.FVIII,b-Domain Del*",15668206.48,442827,695,80,35.38222936,22544.18199,195852.581,2015
J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Alphanate (J7186),Antihemophilic Factor/VWF,11363124.99,1188187,492,60,9.563414673,23095.7825,189385.4165,2015
J7187,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco",Humate-P,Antihemophilic Factor/VWF,23325946.09,4661791.8,1392,342,5.003643897,16757.14518,68204.52073,2015
J7189,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Novoseven RT,"Coagulation Factor VIIA,recomb",98366886.43,6104878,1678,187,16.1128341,58621.50562,526026.1306,2015
J7190,"Factor viii (antihemophilic factor, human) per i.u.",Alphanate (J7190)*,Antihemophilic Factor/VWF*,25703867.65,4273992.6,954,162,6.014017818,26943.2575,158665.8497,2015
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Advate*,"Antihemophil.FVIII,full Length*",229837519.2,17070230,7854,957,13.46423096,29263.7534,240164.5969,2015
J7193,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Alphanine SD*,Factor Ix*,14290210.65,709941,429,80,20.12872992,33310.51434,178627.6331,2015
J7194,"Factor ix, complex, per i.u.",Bebulin*,"Factor Ix Cplx(Pcc)no6,3factor*",1650408.53,445568,207,177,3.704055341,7972.988068,9324.341977,2015
J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Benefix,Factor Ix Human Recombinant,53049836.88,4542192,1889,279,11.67934708,28083.55579,190142.7845,2015
J7198,"Anti-inhibitor, per i.u.",Feiba NF,Anti-Inhibitor Coagulant Comp.,44882040.47,1488533.4,1210,168,30.15185314,37092.59543,267155.0028,2015
J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Rixubis,Factor Ix Human Recombinant,7863493.16,318126,188,19,24.71817192,41827.09128,413868.0611,2015
J7201,"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u.",Alprolix,"Factor Ix Rec, Fc Fusion Protn",31653209.4,1457255,632,66,21.72111909,50084.19209,479594.0818,2015
J7205,"Injection, factor viii fc fusion protein (recombinant), per iu",Eloctate,"Antihemoph.FVIII Rec,fc Fusion",26822148.59,2252012.4,625,91,11.91030235,42915.43774,294748.8856,2015
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Levulan,Aminolevulinic Acid HCL,42630522.07,158866.5,138364,91482,268.3417969,308.1041461,465.999017,2015
J7312,"Injection, dexamethasone, intravitreal implant, 0.1 mg",Ozurdex,Dexamethasone,32539716.87,164730,23103,12232,197.5336421,1408.462835,2660.212301,2015
J7313,"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg",Iluvien,Fluocinolone Acetonide, , , , , , , ,2015
J7316,"Injection, ocriplasmin, 0.125 mg",Jetrea,Ocriplasmin/PF,4810160.73,4682.5,1229,1179,1027.26337,3913.881798,4079.864911,2015
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",Hyalgan*,Hyaluronate Sodium*,70839897.72,810671,622202,132121,87.38427515,113.8535359,536.1743986,2015
J7323,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Euflexxa,Hyaluronate Sodium,63419149.78,425409,318765,98601,149.0780632,198.9526761,643.189722,2015
J7324,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",Orthovisc,Hyaluronate Sodium,86514825.31,508032,385009,110709,170.2940471,224.7085791,781.4615371,2015
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Synvisc*,Hylan G-F 20*,141263126.8,11287832.4,273163,162328,12.51463716,517.1385832,870.2326573,2015
J7326,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose",Gel-One,"Hyaluronate Sod, Cross-Linked",18763787.09,33737,26411,22933,556.1782936,710.4534887,818.200283,2015
J7327,"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose",Monovisc,"Hyaluronate Sodium, Stabilized",22177666.25,37203,18232,16166,596.1257493,1216.41434,1371.870979,2015
J7336,"Capsaicin 8% patch, per square centimeter",Qutenza,Capsaicin/Skin Cleanser,165727.58,61222,196,152,2.706993891,845.5488776,1090.313026,2015
J7500,"Azathioprine, oral, 50 mg",Azasan*,Azathioprine*,474772.73,1890118,35890,4613,0.25118682,13.22855196,102.9206005,2015
J7502,"Cyclosporine, oral, 100 mg",Cyclosporine (J7502)*,Cyclosporine*,7513962.58,2486473,40648,5317,3.021936124,184.8544229,1413.195896,2015
J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",Envarsus Xr,Tacrolimus, , , , , , , ,2015
J7507,"Tacrolimus, immediate release, oral, 1 mg",Hecoria*,Tacrolimus*,94882356.94,93736051,659453,78721,1.012229083,143.8803932,1205.299182,2015
J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Astagraf Xl,Tacrolimus,4395952.56,11429996,7243,938,0.384597909,606.92428,4686.516589,2015
J7509,"Methylprednisolone oral, per 4 mg",Medrol*,MethylprednIsolone*,13364.98,28333,1034,267,0.471710726,12.92551257,50.05610487,2015
J7510,"Prednisolone oral, per 5 mg",Flo-Pred*,PrednIsolone Acetate*,2894.34,26832,905,460,0.107868962,3.198165746,6.292043478,2015
J7511,"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg",Thymoglobulin,"Lymphocyte Immune Glob,rabbit",1878533.5,3128,581,354,600.554188,3233.276248,5306.591808,2015
J7512,"Prednisone, immediate release or delayed release, oral, 1 mg",PrednIsone*,PrednIsone*, , , , , , , ,2015
J7515,"Cyclosporine, oral, 25 mg",Cyclosporine (J7515)*,Cyclosporine*,10142107.32,12315584,85216,10313,0.82351818,119.0164678,983.429392,2015
J7517,"Mycophenolate mofetil, oral, 250 mg",Cellcept*,Mycophenolate Mofetil*,77511491.24,62753928,391902,48062,1.23516557,197.7828417,1612.739612,2015
J7518,"Mycophenolic acid, oral, 180 mg",Mycophenolic Acid*,Mycophenolate Sodium*,115784054.2,37902241,224972,27369,3.054807609,514.6598431,4230.481721,2015
J7520,"Sirolimus, oral, 1 mg",Rapamune*,Sirolimus*,45323955.77,3306013,59521,7416,13.70955159,761.4783987,6111.644521,2015
J7525,"Tacrolimus, parenteral, 5 mg",Prograf,Tacrolimus,49710.48,662,269,49,75.09135952,184.7973234,1014.499592,2015
J7527,"Everolimus, oral, 0.25 mg",Zortress,Everolimus,22054560.39,3230761,11023,1528,6.82642894,2000.776594,14433.61282,2015
J7605,"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms",Brovana,Arformoterol Tartrate,178577586.2,24847192,420618,68562,7.187032893,424.5600193,2604.6146,2015
J7606,"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms",Perforomist,Formoterol Fumarate,79603160.68,9803060,164268,27447,8.120235996,484.5932298,2900.249961,2015
J7608,"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",Acetylcysteine,Acetylcysteine,1131930.17,315308,13731,3774,3.589918968,82.43610589,299.9285029,2015
J7611,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg",Albuterol Sulfate (J7611),Albuterol Sulfate,222706.5,1895095,36078,25979,0.117517328,6.172917013,8.572558605,2015
J7612,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Levalbuterol Concentrate*,Levalbuterol HCL*,34434.58,169744,5460,3799,0.202861839,6.306699634,9.064116873,2015
J7613,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg",Albuterol Sulfate (J7613),Albuterol Sulfate,20576488.34,320554696.3,1551954,515831,0.064190257,13.25843958,39.88998013,2015
J7614,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",Levalbuterol HCL*,Levalbuterol HCL*,1159076.3,12096628.8,90785,41903,0.095818126,12.76726662,27.66093836,2015
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Ipratropium-Albuterol,Ipratropium/Albuterol Sulfate,23627464.86,141603290.5,1453235,415176,0.16685675,16.25853001,56.90951515,2015
J7626,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",Budesonide*,Budesonide*,229812110.1,43541689,748461,136104,5.277978769,307.0462056,1688.503719,2015
J7631,"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Cromolyn Sodium,Cromolyn Sodium,305683.46,420059,2529,686,0.727715535,120.8712772,445.6027114,2015
J7639,"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Pulmozyme,Dornase Alfa,20931359.96,571926,7293,1222,36.59802135,2870.061698,17128.77247,2015
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,3824775.95,17412341,396092,116978,0.219658916,9.656281748,32.6965408,2015
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Provocholine,Methacholine Chloride,88605.3,178004,3151,3123,0.497771398,28.11973977,28.37185399,2015
J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Bethkis*,Tobramycin*,24696720.08,345201,6647,2288,71.5430143,3715.468645,10794.02101,2015
J7686,"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg",Tyvaso*,Treprostinil*,209889246.1,431272,15538,1953,486.6748737,13508.12499,107470.1721,2015
J8501,"Aprepitant, oral, 5 mg",Aprepitant*,Aprepitant*,1016328.96,119668,2851,1028,8.492905037,356.4815714,988.6468483,2015
J8510,"Busulfan; oral, 2 mg",Myleran,Busulfan,21392.16,1722,69,24,12.42285714,310.0313044,891.34,2015
J8520,"Capecitabine, oral, 150 mg",Capecitabine (J8520)*,Capecitabine*,3287097.93,500219,9823,2960,6.571317623,334.6327934,1110.506057,2015
J8521,"Capecitabine, oral, 500 mg",Capecitabine (J8521)*,Capecitabine*,192696351.7,8803136,115128,26679,21.88951207,1673.757485,7222.772656,2015
J8530,"Cyclophosphamide; oral, 25 mg",Cyclophosphamide (J8530),Cyclophosphamide,4166218.65,1011630,14820,3908,4.118322559,281.1213664,1066.074373,2015
J8540,"Dexamethasone, oral, 0.25 mg",Dexamethasone,Dexamethasone,5753.02,64184,573,214,0.089633242,10.04017452,26.88327103,2015
J8560,"Etoposide; oral, 50 mg",Etoposide,Etoposide,2899082.1,48695,2555,894,59.53551905,1134.670098,3242.821141,2015
J8600,"Melphalan; oral, 2 mg",Alkeran (J8600),Melphalan,772263.67,77517,2939,899,9.962507192,262.7640932,859.0252169,2015
J8610,"Methotrexate; oral, 2.5 mg",Methotrexate (J8610)*,Methotrexate Sodium*,34712.53,23984,915,221,1.447320297,37.93719126,157.0702715,2015
J8655,Netupitant 300 mg and palonosetron 0.5 mg,Akynzeo,Netupitant/Palonosetron HCL, , , , , , , ,2015
J8700,"Temozolomide, oral, 5 mg",Temodar (J8700)*,Temozolomide*,25057479.41,5235450,21783,5333,4.786117604,1150.322702,4698.57105,2015
J8705,"Topotecan, oral, 0.25 mg",Hycamtin (J8705),Topotecan HCL,3395393.11,35370,545,209,95.9964125,6230.079101,16245.90005,2015
J9000,"Injection, doxorubicin hydrochloride, 10 mg",Adriamycin*,Doxorubicin HCL*,1116540.31,318406.5,37522,9609,3.506650492,29.75695086,116.1973473,2015
J9017,"Injection, arsenic trioxide, 1 mg",Trisenox,Arsenic Trioxide,6767927.6,122311,5467,209,55.33376066,1237.960051,32382.42871,2015
J9025,"Injection, azacitidine, 1 mg",Azacitidine*,Azacitidine*,142093665.8,43009073,190458,8924,3.303806752,746.0629944,15922.64296,2015
J9027,"Injection, clofarabine, 1 mg",Clofarabine*,Clofarabine*,2425852.34,18130,381,74,133.8032179,6367.066509,32781.78838,2015
J9031,Bcg (intravesical) per instillation,BCG (Tice Strain) (J9031)*,BCG Live*,18151130.17,151462.5,147891,27451,119.8391032,122.7331627,661.2192696,2015
J9032,"Injection, belinostat, 10 mg",Beleodaq,Belinostat, , , , , , , ,2015
J9033,"Injection, bendamustine hcl (treanda), 1 mg",Treanda,Bendamustine HCL,309830014.8,13312628,68399,12159,23.27339236,4529.744803,25481.53752,2015
J9035,"Injection, bevacizumab, 10 mg",Avastin,Bevacizumab,1118194040,16565453.9,881658,208362,67.50156361,1268.28548,5366.592949,2015
J9039,"Injection, blinatumomab, 1 microgram",Blincyto,Blinatumomab, , , , , , , ,2015
J9040,"Injection, bleomycin sulfate, 15 units",Bleo 15k*,Bleomycin Sulfate*,142578.78,6247.6,3920,1213,22.82136821,36.37213776,117.5422754,2015
J9041,"Injection, bortezomib, 0.1 mg",Velcade,Bortezomib,505044275.2,11017479.8,285114,21021,45.8402724,1771.376626,24025.70169,2015
J9042,"Injection, brentuximab vedotin, 1 mg",Adcetris,Brentuximab Vedotin,61780795.95,535723,3760,825,115.3222765,16431.06275,74885.81327,2015
J9043,"Injection, cabazitaxel, 1 mg",Jevtana,Cabazitaxel,74346799.69,518915,8733,2129,143.2735606,8513.317267,34920.99563,2015
J9045,"Injection, carboplatin, 50 mg",Carboplatin,Carboplatin,5005809.92,1320920.9,193826,41831,3.789636397,25.82630772,119.6674696,2015
J9047,"Injection, carfilzomib, 1 mg",Kyprolis,Carfilzomib,227741022.4,7578247,100318,5561,30.05193977,2270.191017,40953.24985,2015
J9050,"Injection, carmustine, 100 mg",Bicnu,Carmustine,1187749.67,544,183,108,2183.363364,6490.435355,10997.68213,2015
J9055,"Injection, cetuximab, 10 mg",Erbitux,Cetuximab,244051386.2,4654783.6,72425,8798,52.43023246,3369.711925,27739.41648,2015
J9060,"Injection, cisplatin, powder or solution, 10 mg",Cisplatin,Cisplatin,814488.78,402571,49856,11245,2.023217718,16.33682566,72.43119431,2015
J9065,"Injection, cladribine, per 1 mg",Cladribine,Cladribine,538731.51,23007,1491,325,23.41598253,361.3222736,1657.635415,2015
J9070,"Cyclophosphamide, 100 mg",Cyclophosphamide (J9070),Cyclophosphamide,84709159.72,1575667.4,127240,32310,53.76081254,665.7431603,2621.762913,2015
J9098,"Injection, cytarabine liposome, 10 mg",Depocyt,Cytarabine Liposome/PF,1184747.42,2126,405,168,557.2659548,2925.302272,7052.067976,2015
J9100,"Injection, cytarabine, 100 mg",Cytarabine*,Cytarabine*,33480.66,26213,2192,279,1.277254034,15.27402372,120.0023656,2015
J9120,"Injection, dactinomycin, 0.5 mg",COsmegen,Dactinomycin,398493.43,422,141,30,944.2972275,2826.194539,13283.11433,2015
J9130,"Dacarbazine, 100 mg",Dacarbazine,Dacarbazine,128210.25,32509.4,4444,668,3.943790104,28.85019127,191.931512,2015
J9150,"Injection, daunorubicin, 10 mg",Daunorubicin HCL,Daunorubicin HCL,36884.84,1399,151,55,26.36514653,244.2704636,670.6334546,2015
J9155,"Injection, degarelix, 1 mg",Firmagon,Degarelix Acetate,15750873.17,4564710,40847,11874,3.450574773,385.6066093,1326.501025,2015
J9171,"Injection, docetaxel, 1 mg",Docefrez*,Docetaxel*,54079090.42,15699258,135143,32964,3.444690852,400.1619797,1640.550007,2015
J9178,"Injection, epirubicin hcl, 2 mg",Ellence*,Epirubicin HCL*,151144.67,102798,1889,580,1.470307496,80.01305982,260.5942586,2015
J9179,"Injection, eribulin mesylate, 0.1 mg",Halaven,Eribulin Mesylate,53297404.5,535768.3,19425,2917,99.47845832,2743.753127,18271.30768,2015
J9181,"Injection, etoposide, 10 mg",Etopophos*,Etoposide Phosphate*,804553.78,1268281.7,76315,7966,0.634365205,10.5425379,100.998466,2015
J9185,"Injection, fludarabine phosphate, 50 mg",Fludarabine Phosphate,Fludarabine Phosphate,727310.51,9622,6625,977,75.5882883,109.7827185,744.4324565,2015
J9190,"Injection, fluorouracil, 500 mg",Adrucil*,Fluorouracil*,3505097.04,1750301.4,254232,32609,2.002567695,13.78700179,107.4886393,2015
J9200,"Injection, floxuridine, 500 mg",Floxuridine,Floxuridine,289341.75,3768,621,116,76.78921178,465.928744,2494.325431,2015
